grouping,G,metric,scenes,mean_difference,median_difference,ci_low,ci_high,log_ci_low,log_ci_high,scene_win_fraction,scene_tie_fraction,bootstrap_sign_tail,holm_primary_bootstrap_sign_tail
prefix,16,max_PDMS,5000,1.1374005906058837,0.0,1.021866908520228,1.258385469018884,1.0134665982273272,1.2667276315721525,0.4296,0.489,0.0006664445184938354,
prefix,16,std_PDMS,5000,-5.081380429052582,-2.1230100322186205,-5.347645168548696,-4.81352167097957,-5.3880045597110025,-4.770181333151664,0.3142,0.0166,0.0006664445184938354,
prefix,16,train_reward_mean,5000,10.147770615767506,6.095929857884514,9.787844366766079,10.524876234531796,9.680311369490807,10.61312962032623,0.8516,0.0158,0.0006664445184938354,
prefix,16,train_reward_std,5000,-5.423428840500355,-1.9746411362427736,-5.709290822731668,-5.142203704846035,-5.750070233813181,-5.095261487714569,0.3052,0.0164,0.0006664445184938354,
prefix,16,feasible_rate,5000,0.0808,0.0625,0.0762121875,0.0854253125,0.07480990328231499,0.08662932124675021,0.5216,0.3122,0.0006664445184938354,0.005331556147950683
prefix,16,all_safe_group,5000,0.0576,0.0,0.0486,0.06680500000000002,0.048467037621388626,0.06720106930246741,0.0864,0.8848,0.0006664445184938354,
prefix,16,no_safe_group,5000,0.0006,0.0,-0.0016,0.0028,-0.001548430065945065,0.002695023871703462,0.0034,0.9938,0.6684438520493169,
prefix,16,mixed_safety_group,5000,-0.0582,0.0,-0.0676,-0.049,-0.06788374909460845,-0.04877523253477584,0.0316,0.8786,0.0006664445184938354,
prefix,16,hard_failure_rate,5000,-0.090025,0.0,-0.0942375,-0.08586187499999999,-0.09537314173951368,-0.08438814689547225,0.0662,0.4582,0.0006664445184938354,
prefix,16,mean_pairwise_ADE,5000,0.00011902807846359176,0.002450706883395215,-0.00047209454181945665,0.0006959484922574895,-0.0006444499453873685,0.0008714563813142225,0.5648,0.0,0.7017660779740087,
prefix,16,median_pairwise_ADE,5000,-0.0002500190352533243,0.0019580107269712155,-0.0009896653660634745,0.0004859536437344282,-0.0010964242462278809,0.0006270717133044642,0.537,0.0,0.49450183272242587,
prefix,16,pairwise_P90_ADE,5000,0.001261695350626696,0.0027919134948259927,0.00019632699762573973,0.002343363076100628,4.927726630225554e-05,0.0024538424823308553,0.5324,0.0,0.01866044651782739,
prefix,16,medoid_radius_P50,5000,0.00094657932676876,0.002148509210324945,-0.00020383796715732166,0.0021167356391924145,-0.00024279763567823046,0.0021569687321363875,0.5266,0.0,0.10463178940353215,
