analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
teacher:il_sft:ALL,train,eval,score,official_il,native_epsilon_loss,512,0.006324814713316584,0.002453816923662089,0.005461119079712695,0.007206055001219802,0.0046054036382027885,0.008130719943897835,0.830078125,0.0,145
teacher:il_sft:ALL,train,eval,score,official_il,nearest_teacher_ADE,512,0.6037337458365073,0.32317763566970825,0.5354790758904528,0.6761015719456737,0.45859891547760206,0.769555198968602,0.78125,0.0,145
teacher:il_sft:ALL,train,eval,score,official_il,Hit64_0p5,512,-0.43359375,-0.5,-0.4814453125,-0.38671875,-0.5125916355523177,-0.3603841930885695,0.03515625,0.462890625,145
teacher:il_sft:ALL,train,eval,score,official_il,Mass64_0p5,512,-0.490264892578125,-0.58203125,-0.5327354431152344,-0.44821014404296877,-0.5530783907773452,-0.431322102759373,0.119140625,0.08203125,145
teacher:il_sft:ALL,train,eval,score,official_il,Hit64_1p0,512,-0.29296875,0.0,-0.33203125,-0.25390625,-0.37080624068640256,-0.21768408662711855,0.00390625,0.671875,145
teacher:il_sft:ALL,train,eval,score,official_il,Mass64_1p0,512,-0.4470062255859375,-0.3359375,-0.4864055633544922,-0.4088264465332031,-0.5145013891744336,-0.37996195262036403,0.037109375,0.283203125,145
teacher:il_sft:ALL,train,eval,pareto,official_il,native_epsilon_loss,512,0.006327112921759692,0.002460167319441098,0.005492589829116668,0.007230924272121975,0.004615213403062736,0.008102000937558893,0.830078125,0.0,145
teacher:il_sft:ALL,train,eval,pareto,official_il,nearest_teacher_ADE,512,0.6063356286922499,0.3275245130062103,0.5383609245704974,0.6783067080064938,0.4555009526836673,0.7640178481532898,0.78125,0.0,145
teacher:il_sft:ALL,train,eval,pareto,official_il,Hit64_0p5,512,-0.431640625,0.0,-0.478515625,-0.38671875,-0.5036511585390626,-0.3545203314112811,0.03515625,0.466796875,145
teacher:il_sft:ALL,train,eval,pareto,official_il,Mass64_0p5,512,-0.491790771484375,-0.58203125,-0.5339679718017578,-0.4494590759277344,-0.549659432311776,-0.4316811756329649,0.119140625,0.083984375,145
teacher:il_sft:ALL,train,eval,pareto,official_il,Hit64_1p0,512,-0.2958984375,0.0,-0.3359375,-0.2578125,-0.378524814695456,-0.2219139401114539,0.00390625,0.671875,145
teacher:il_sft:ALL,train,eval,pareto,official_il,Mass64_1p0,512,-0.44915771484375,-0.33203125,-0.48886833190917967,-0.4092529296875,-0.5191447325874221,-0.3828656429398927,0.03515625,0.27734375,145
teacher:il_sft:ALL,train,eval,psi,official_il,native_epsilon_loss,512,0.007652244446102685,0.0031895629472273868,0.006606620285074793,0.00876694789707697,0.0055362840029968795,0.010054408500850523,0.875,0.0,145
teacher:il_sft:ALL,train,eval,psi,official_il,nearest_teacher_ADE,512,0.7039783264553989,0.4690904561430216,0.6280880491237439,0.7803458331462935,0.546222002882536,0.8790834509631663,0.833984375,0.0,145
teacher:il_sft:ALL,train,eval,psi,official_il,Hit64_0p5,512,-0.484375,-0.5,-0.5302734375,-0.4384765625,-0.5577267877447392,-0.41152556359953485,0.033203125,0.412109375,145
teacher:il_sft:ALL,train,eval,psi,official_il,Mass64_0p5,512,-0.5304718017578125,-0.640625,-0.5711692810058594,-0.489862060546875,-0.5871053137313538,-0.47148006468231973,0.09765625,0.064453125,145
teacher:il_sft:ALL,train,eval,psi,official_il,Hit64_1p0,512,-0.330078125,0.0,-0.3691650390625,-0.29296875,-0.40887287334593575,-0.26011530254951304,0.001953125,0.630859375,145
teacher:il_sft:ALL,train,eval,psi,official_il,Mass64_1p0,512,-0.4910430908203125,-0.4765625,-0.5302909851074219,-0.451812744140625,-0.554515690355534,-0.4237408438380198,0.03125,0.236328125,145
teacher:il_sft:ALL,train,native_grpo,psi,il_sft,native_epsilon_loss,512,0.008171038456220359,0.0035568132261687424,0.007166419518400513,0.009247841863858186,0.006078294503022501,0.010426851881768623,0.931640625,0.0,145
teacher:il_sft:ALL,train,native_grpo,psi,il_sft,nearest_teacher_ADE,512,0.37654500934877433,0.15654025971889496,0.32800636924876014,0.4278804139525164,0.27805727138535513,0.48846977690471033,0.833984375,0.0,145
teacher:il_sft:ALL,train,native_grpo,psi,il_sft,Hit64_0p5,512,-0.0029296875,0.0,-0.0078125,0.0,-0.007798527522093724,0.0,0.0,0.99609375,145
teacher:il_sft:ALL,train,native_grpo,psi,il_sft,Mass64_0p5,512,-4.57763671875e-05,0.0,-0.0001220703125,0.0,-0.0001240149824134199,0.0,0.0,0.99609375,145
teacher:il_sft:ALL,train,native_grpo,psi,il_sft,Hit64_1p0,512,-0.462890625,-0.5,-0.5048828125,-0.419921875,-0.5230377564001724,-0.4040848702961708,0.0234375,0.44140625,145
teacher:il_sft:ALL,train,native_grpo,psi,il_sft,Mass64_1p0,512,-0.03369140625,-0.03125,-0.036484146118164064,-0.030868148803710936,-0.03685506894520008,-0.030159207307267195,0.095703125,0.08203125,145
