scope,protocol,model,reference,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
NEW4000,eval,original_grpo_11970,official_il,hard_failure_rate,4000,-0.01916015625,0.0,-0.02352138671875,-0.01484755859375,-0.023679491313726462,-0.01499451525730906,0.00825,0.93525,944
NEW4000,eval,original_grpo_11970,official_il,zero_score_rate,4000,-0.0184921875,0.0,-0.0228712890625,-0.014386425781249998,-0.022964663417353533,-0.01403797976269389,0.00825,0.937,944
NEW4000,eval,original_grpo_11970,official_il,std_PDMS,4000,-1.544602659525424,0.0,-1.7727160718341866,-1.3195336774899293,-1.7876783263452543,-1.315269518838829,0.2545,0.308,944
NEW4000,eval,original_grpo_11970,official_il,no_safe_group,4000,-0.00275,0.0,-0.0080640625,0.0025625,-0.008668873667808665,0.0034287597866806832,0.019,0.9585,944
NEW4000,eval,original_grpo_11970,official_il,best_safe_PDMS,3784,1.137205641869088,0.0,1.040968783618778,1.23666837847893,1.018150984522742,1.2639768255491006,0.47806553911205074,0.3890063424947146,924
NEW4000,eval,original_grpo_11970,official_il,Hit16,4000,0.211125,0.0,0.1941875,0.2272515625,0.18769676961531298,0.23391307239123582,0.3315,0.582,944
NEW4000,eval,original_grpo_11970,official_il,GT_center_distance,4000,0.2709332704148839,0.2546531122976661,0.2633027753918921,0.2786805702739216,0.26205661917418344,0.27966129039405657,0.883,0.0,944
NEW4000,eval,psi_sft,official_il,pairwise_ADE,4000,0.1608972791642882,0.15339389257133007,0.15919150479813687,0.1625642867937917,0.15833699699836734,0.16347757616644476,1.0,0.0,944
NEW4000,eval,psi_sft,official_il,pairwise_ADE64,4000,0.16085519498959183,0.15330369770526886,0.1592520056353649,0.16262536711823194,0.158312437757678,0.16346816377243573,1.0,0.0,944
NEW4000,eval,psi_sft,official_il,centroid_displacement,4000,0.4265895341914147,0.38532961905002594,0.41924094718785493,0.4343149889725726,0.41525456609048317,0.4382778313867549,1.0,0.0,944
NEW4000,eval,psi_sft,official_il,feasible_rate,4000,-0.0123828125,0.0,-0.0174142578125,-0.007273144531249999,-0.017621161700675004,-0.007112329339887707,0.05975,0.8105,944
NEW4000,eval,psi_sft,official_il,mean_PDMS,4000,0.7578047653946549,0.34687317056044975,0.3546588775802768,1.1530426198496362,0.34021075338265233,1.1869225990145944,0.54125,0.27,944
NEW4000,eval,psi_sft,official_il,min_PDMS,4000,-1.864823278978647,0.0,-2.519748063659346,-1.2181587855597371,-2.5262602563352083,-1.206174525440745,0.48325,0.299,944
NEW4000,eval,psi_sft,official_il,max_PDMS,4000,1.9669569915133087,0.640489897249843,1.6267799439490902,2.3121888229703624,1.6067681921569763,2.3416226474030255,0.55575,0.382,944
NEW4000,eval,psi_sft,official_il,CVaR25_PDMS,4000,-0.4982358251108021,0.020937467847531366,-1.0669730292185182,0.07780177140719984,-1.1027748371849404,0.08300656312202247,0.5025,0.28625,944
NEW4000,eval,psi_sft,official_il,Spread_AUC,4000,0.12822722558071836,0.1216203048825264,0.1268356176511268,0.12966050434866921,0.12617095967808944,0.13047548342001278,0.99975,0.0,944
NEW4000,eval,psi_sft,official_il,hard_failure_rate,4000,0.00651171875,0.0,0.0023318359375,0.01055859375,0.0020572390999413896,0.010868033887369717,0.07975,0.88325,944
NEW4000,eval,psi_sft,official_il,zero_score_rate,4000,0.00556640625,0.0,0.0014642578125000003,0.009719140625,0.0013292724980974125,0.009822787621036796,0.0755,0.888,944
NEW4000,eval,psi_sft,official_il,std_PDMS,4000,1.2606791411654252,0.15514262238302373,0.9854844672071006,1.5347390994178771,0.9793949155156225,1.5425964808681498,0.60375,0.27,944
NEW4000,eval,psi_sft,official_il,no_safe_group,4000,-0.004375,0.0,-0.008875,-6.25e-05,-0.0089142878235964,0.00031870540767280466,0.0155,0.96525,944
NEW4000,eval,psi_sft,official_il,best_safe_PDMS,3808,1.730149570832783,0.6311264655844013,1.6457112706571893,1.8135894000125543,1.6246931674407386,1.8395887555619104,0.5588235294117647,0.389968487394958,926
NEW4000,eval,psi_sft,official_il,Hit16,4000,0.2845625,0.0,0.271125,0.29825,0.26556360394804673,0.3052148096182282,0.3755,0.59825,944
NEW4000,eval,psi_sft,official_il,GT_center_distance,4000,0.19444215177375082,0.164057985065248,0.185498263940959,0.20301087326615688,0.18451306969006223,0.20501453522505128,0.7715,0.0,944
