checkpoint,n_rollouts,repeat,pairwise_ADE,spread_auc,hit8_1
grpo_9041,16,48,0.17056206,0.14267948,0.4715
grpo_9041,16,49,0.1713899,0.14339589,0.471
grpo_9041,16,50,0.16991103,0.14219302,0.4715
grpo_9041,16,51,0.16997372,0.14215785,0.4675
grpo_9041,16,52,0.16957684,0.14166147,0.4665
grpo_9041,16,53,0.17023247,0.14234331,0.4715
grpo_9041,16,54,0.17022426,0.14233567,0.4695
grpo_9041,16,55,0.16928536,0.14169355,0.4695
grpo_9041,16,56,0.17084552,0.14291471,0.4715
grpo_9041,16,57,0.1701944,0.14230067,0.4705
grpo_9041,16,58,0.17028618,0.14245908,0.4705
grpo_9041,16,59,0.17024958,0.14240149,0.4705
grpo_9041,16,60,0.171993,0.14402138,0.467
grpo_9041,16,61,0.1704778,0.14254546,0.464
grpo_9041,16,62,0.16992643,0.14224309,0.4685
grpo_9041,16,63,0.17130628,0.14330435,0.467
grpo_9041,16,64,0.17016599,0.14228067,0.4685
grpo_9041,16,65,0.17054325,0.14271942,0.468
grpo_9041,16,66,0.16976742,0.14207113,0.4695
grpo_9041,16,67,0.16984904,0.14207327,0.471
grpo_9041,16,68,0.170047,0.14225312,0.4715
grpo_9041,16,69,0.17091152,0.142959,0.4705
grpo_9041,16,70,0.16964214,0.14185765,0.471
grpo_9041,16,71,0.17077933,0.14282985,0.4695
grpo_9041,16,72,0.17073026,0.14281785,0.472
grpo_9041,16,73,0.16967785,0.14196683,0.469
grpo_9041,16,74,0.16983965,0.1420575,0.4685
grpo_9041,16,75,0.17177796,0.14368731,0.4725
grpo_9041,16,76,0.16912635,0.14143178,0.469
grpo_9041,16,77,0.17102778,0.14306186,0.469
grpo_9041,16,78,0.17043039,0.14266542,0.4705
grpo_9041,16,79,0.17003743,0.14230536,0.474
grpo_9041,16,80,0.169922,0.14217012,0.4705
grpo_9041,16,81,0.17042384,0.14263834,0.4705
grpo_9041,16,82,0.1697194,0.1419655,0.469
grpo_9041,16,83,0.17061225,0.14269832,0.472
grpo_9041,16,84,0.17124803,0.14320084,0.4715
grpo_9041,16,85,0.17077498,0.14284739,0.4755
grpo_9041,16,86,0.16983168,0.1420443,0.472
grpo_9041,16,87,0.17046146,0.14260264,0.4695
grpo_9041,16,88,0.17190579,0.14384541,0.4695
grpo_9041,16,89,0.1698487,0.14206117,0.472
grpo_9041,16,90,0.17142425,0.1435261,0.4715
grpo_9041,16,91,0.16874579,0.14109866,0.47
grpo_9041,16,92,0.17016669,0.1423654,0.469
grpo_9041,16,93,0.17030723,0.14239648,0.4725
grpo_9041,16,94,0.17124283,0.143202,0.4705
grpo_9041,16,95,0.1692336,0.14152935,0.472
grpo_9041,16,96,0.17050685,0.14262123,0.473
grpo_9041,16,97,0.17041548,0.14261657,0.475
grpo_9041,16,98,0.17114338,0.14310226,0.47
grpo_9041,16,99,0.17050418,0.14263487,0.4765
grpo_9041,32,0,0.1706245,0.14371942,0.47125
grpo_9041,32,1,0.17072923,0.1437862,0.47175
grpo_9041,32,2,0.1706787,0.14375958,0.4695
grpo_9041,32,3,0.17040609,0.14345643,0.472
grpo_9041,32,4,0.17111644,0.14407296,0.46875
grpo_9041,32,5,0.17000815,0.14311881,0.47275
grpo_9041,32,6,0.17103733,0.14410564,0.4705
grpo_9041,32,7,0.17024565,0.14336127,0.468
grpo_9041,32,8,0.17090033,0.14399461,0.469
grpo_9041,32,9,0.1700377,0.14322433,0.46975
grpo_9041,32,10,0.17026174,0.14339595,0.47325
grpo_9041,32,11,0.1703451,0.14346333,0.47025
grpo_9041,32,12,0.17064199,0.14372267,0.4715
grpo_9041,32,13,0.17015912,0.14336345,0.46975
grpo_9041,32,14,0.17055996,0.14362697,0.47225
grpo_9041,32,15,0.17051572,0.14356577,0.469
grpo_9041,32,16,0.17093848,0.14396219,0.46975
grpo_9041,32,17,0.1706759,0.1437113,0.47125
grpo_9041,32,18,0.17049763,0.14356333,0.46725
grpo_9041,32,19,0.17044039,0.14354423,0.469
grpo_9041,32,20,0.17028847,0.14333215,0.46975
grpo_9041,32,21,0.17028964,0.1433922,0.46925
grpo_9041,32,22,0.17079364,0.14380082,0.4725
grpo_9041,32,23,0.17031515,0.14349706,0.4725
grpo_9041,32,24,0.17108972,0.1440888,0.47125
grpo_9041,32,25,0.17127717,0.14424181,0.47275
grpo_9041,32,26,0.17079479,0.14390562,0.4725
grpo_9041,32,27,0.16970776,0.14296743,0.46825
grpo_9041,32,28,0.17003866,0.14322245,0.46875
grpo_9041,32,29,0.17042309,0.14349468,0.47125
grpo_9041,32,30,0.17075875,0.14370993,0.47025
grpo_9041,32,31,0.1704123,0.14352816,0.47
grpo_9041,32,32,0.1711792,0.14418365,0.471
grpo_9041,32,33,0.1699726,0.14310423,0.46825
grpo_9041,32,34,0.1700185,0.14307189,0.4695
grpo_9041,32,35,0.16931769,0.14262938,0.46975
grpo_9041,32,36,0.17058599,0.14362618,0.471
grpo_9041,32,37,0.1708558,0.14390157,0.471
grpo_9041,32,38,0.17004074,0.14317827,0.4715
grpo_9041,32,39,0.17117077,0.14412242,0.47025
grpo_9041,32,40,0.1701302,0.14327465,0.47125
grpo_9041,32,41,0.17045642,0.14355081,0.47125
grpo_9041,32,42,0.17095582,0.14391887,0.46875
grpo_9041,32,43,0.17051521,0.14355175,0.4695
grpo_9041,32,44,0.17066959,0.14368057,0.47275
